Gene	mRNA	Condition
ID-4609	0.027361496	20
ID-4609	-0.310406656	20
ID-4609	0.136765611	20
ID-4609	-0.425617332	0
ID-4609	-0.425617332	0
ID-4609	-0.425617332	0
ID-4609	-0.132472934	40
ID-4609	0.087916871	40
ID-4609	-0.105844039	20
ID-4609	-0.23505714	40
ID-4609	0.140945978	40
ID-4609	0.103355661	60
ID-4609	-0.031004698	60
ID-4609	-0.052184714	60
ID-4609	-0.077403812	60
ID-4609	-0.168761695	120
ID-4609	-0.183881308	120
ID-4609	-0.007887467	120
ID-4609	0.164178816	120
ID-6733	-0.032254315	20
ID-6733	-0.170883805	20
ID-6733	0.184376958	20
ID-6733	-0.143321743	0
ID-6733	-0.143321743	0
ID-6733	-0.143321743	0
ID-6733	-0.090086265	40
ID-6733	0.088209069	40
ID-6733	0.009053783	20
ID-6733	-0.091786541	40
ID-6733	-0.415433724	40
ID-6733	-0.23997294	60
ID-6733	-0.122235529	60
ID-6733	-0.048040306	60
ID-6733	-0.366304803	60
ID-6733	-0.012954954	120
ID-6733	0.122041517	120
ID-6733	0.043322147	120
ID-6733	0.147767699	120
ID-4609	0.11222959	Ref
ID-4609	0.308370019	Ref
ID-6733	0.015282434	Ref
ID-6733	0.248557835	Ref
ID-4064	0.310427316	20
ID-4064	0.185752528	20
ID-4064	-0.042879996	20
ID-4064	-0.074873352	0
ID-4064	-0.074873352	0
ID-4064	-0.074873352	0
ID-4064	-0.043605113	40
ID-4064	0.015263917	40
ID-4064	0.107138746	20
ID-4064	0.224759681	40
ID-4064	-0.034705773	40
ID-4064	0.304219919	60
ID-4064	-0.009065381	60
ID-4064	-0.064386276	60
ID-4064	-0.026925136	60
ID-4064	-0.184845192	120
ID-4064	-0.064344753	120
ID-4064	0.017341217	120
ID-4064	-0.086235666	120
ID-4064	-0.208905577	Ref
ID-4064	0.001283182	Ref
