Gene	mRNA	Time
ID-1	-0.181385669	20
ID-1	-0.059647494	20
ID-1	0.104476117	20
ID-1	-0.052190978	40
ID-1	-0.040484945	40
ID-1	0.194226742	20
ID-1	-0.501601326	40
ID-1	0.102342605	40
ID-1	-0.127143845	60
ID-1	-0.008523742	60
ID-1	-0.102946211	60
ID-1	-0.042894028	60
ID-1	0.002922923	120
ID-1	-0.134394347	120
ID-1	-0.214204393	120
ID-4	-0.138122686	20
ID-4	0.203242361	20
ID-4	0.097935502	20
ID-4	0.147068146	40
ID-4	-0.089430917	40
ID-4	0.331565412	20
ID-4	-0.034572422	40
ID-4	-0.129896329	40
ID-4	0.324191	60
ID-4	0.470108479	60
ID-4	-0.027268223	60
ID-4	0.232304713	60
ID-4	0.090348708	120
ID-4	0.070848402	120
ID-4	0.181540708	120
ID-4	-0.502255367	120
ID-5	-0.267631441	20
ID-5	-0.368647839	20
ID-5	-0.040910404	20
ID-5	-0.003983171	0
ID-5	-0.003983171	0
ID-5	-0.003983171	0
ID-5	-0.14980589	40
ID-5	-0.119449612	40
ID-5	-0.309154214	20
ID-5	-0.487589361	40
ID-5	0.272803506	40
ID-5	-0.421733575	60
ID-5	-0.467108567	60
ID-5	0.024868338	60
ID-5	-0.156025729	120
ID-5	-0.044680175	120
ID-5	-0.206716896	120
ID-5	-0.272014193	120
ID-6	-0.230499883	20
ID-6	-0.238597397	20
ID-6	-0.118130949	20
ID-6	0.349957464	0
ID-6	0.349957464	0
ID-6	0.349957464	0
ID-6	0.172048587	40
ID-6	-0.186226994	40
ID-6	0.16113822	20
ID-6	-0.293029136	40
ID-6	-0.111636253	40
ID-6	-0.044189887	60
ID-6	0.081555274	60
ID-6	-0.048106079	60
ID-6	-0.05853566	60
ID-6	0.010407814	120
ID-6	-0.066981809	120
ID-6	-0.09828484	120
ID-7	-0.315190986	20
ID-7	-0.005102456	20
ID-7	0.221556197	20
ID-7	0.206584568	0
ID-7	0.206584568	0
ID-7	0.206584568	0
ID-7	0.102649006	40
ID-7	-0.011777384	20
ID-7	-0.36963487	40
ID-7	-0.054853074	40
ID-7	-0.230240699	60
ID-7	-0.210508323	60
ID-7	-0.208889919	60
ID-7	-0.050763372	60
ID-7	0.023073782	120
ID-7	-0.095118984	120
ID-7	-0.091076071	120
ID-7	-0.330257395	120
