Gene	mRNA	Time
ID-1000	-0.016018275	20
ID-1000	0.011904427	20
ID-1000	-0.301741954	20
ID-1000	-0.040065991	0
ID-1000	-0.040065991	0
ID-1000	-0.040065991	0
ID-1000	-0.031579298	40
ID-1000	-0.069445511	40
ID-1000	-0.016989983	20
ID-1000	-0.206440764	40
ID-1000	-0.210242731	40
ID-1000	-0.351072695	60
ID-1000	-0.289647386	60
ID-1000	-0.246096775	60
ID-1000	-0.153254398	60
ID-1000		120
ID-1000	-0.012050441	120
ID-1000	-0.212592909	120
ID-1000		120
ID-1001	0.349947771	20
ID-1001	0.309753489	20
ID-1001	0.034523173	20
ID-1001	0.212010446	0
ID-1001	0.212010446	0
ID-1001	0.212010446	0
ID-1001	0.416812325	40
ID-1001	0.149289601	40
ID-1001	0.599170726	20
ID-1001	0.00367731	40
ID-1001	0.030514726	40
ID-1001	-0.078896313	60
ID-1001	0.023393688	60
ID-1001	0.054853416	60
ID-1001	-0.105206409	60
ID-1001	0.058372651	120
ID-1001	0.104659991	120
ID-1001	0.073072635	120
ID-1001	-0.405013666	120
ID-1002	0.084692178	20
ID-1002	0.091243887	20
ID-1002	-0.175975832	20
ID-1002	0.0585191	0
ID-1002	0.0585191	0
ID-1002	0.0585191	0
ID-1002	0.631978424	40
ID-1002	0.016696517	40
ID-1002	0.140941223	20
ID-1002	-0.114273361	40
ID-1002	-0.03641026	40
ID-1002	-0.16089849	60
ID-1002	-0.289220958	60
ID-1002	-0.048277692	60
ID-1002	-0.066719392	60
ID-1002	0.107883227	120
ID-1002	0.218256983	120
ID-1002	0.08216888	120
ID-1002	-0.020272556	120
ID-1003	0.172558696	20
ID-1003	0.079278564	20
ID-1003	-0.207377014	20
ID-1003	0.174670305	0
ID-1003	0.174670305	0
ID-1003	0.174670305	0
ID-1003	0.265965977	40
ID-1003	0.099668152	40
ID-1003	0.276921742	20
ID-1003	-0.187234137	40
ID-1003	0.111715805	40
ID-1003	-0.247697034	60
ID-1003	-0.318228875	60
ID-1003	-0.187847316	60
ID-1003	-0.121789648	60
ID-1003	-0.137921994	120
ID-1003	-0.311363856	120
ID-1003	-0.079925017	120
ID-1003	-0.613558624	120
ID-1004	0.226422166	20
ID-1004	0.387254677	20
ID-1004	-0.192645313	20
ID-1004	0.067438184	0
ID-1004	0.067438184	0
ID-1004	0.067438184	0
ID-1004	0.36382546	40
ID-1004	0.017062804	40
ID-1004	0.206616077	20
ID-1004	-0.375784162	40
ID-1004	-0.17930885	40
ID-1004	-0.451882515	60
ID-1004	-0.527841827	60
ID-1004	-0.382746263	60
ID-1004	-0.389206794	60
ID-1004	0.047287049	120
ID-1004	0.005207865	120
ID-1004	-0.146627289	120
ID-1004	-0.030677465	120
